2025-10-25 18:30:57 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 0: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:30:57 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 25: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:30:57 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 50: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:30:57 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 75: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:30:57 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 100: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:30:57 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 125: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:30:57 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 150: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:30:57 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 175: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:30:57 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 200: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:30:57 | ERROR | src.database.client:create_saliency_analysis:85 | Error creating saliency analysis: All connection attempts failed
2025-10-25 18:30:57 | ERROR | src.database.client:update_video_status:100 | Error updating video status: All connection attempts failed
2025-10-25 18:30:57 | ERROR | src.database.client:create_analysis_log:122 | Error creating analysis log: All connection attempts failed
2025-10-25 18:31:12 | ERROR | src.database.client:update_video_status:100 | Error updating video status: All connection attempts failed
2025-10-25 18:31:12 | ERROR | src.database.client:create_analysis_log:122 | Error creating analysis log: All connection attempts failed
2025-10-25 18:31:18 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 0: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:31:18 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 25: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:31:18 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 50: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:31:18 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 75: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:31:18 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 100: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:31:18 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 125: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:31:18 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 150: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:31:18 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 175: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:31:18 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 200: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:31:18 | ERROR | src.database.client:create_saliency_analysis:85 | Error creating saliency analysis: All connection attempts failed
2025-10-25 18:31:18 | ERROR | src.database.client:update_video_status:100 | Error updating video status: All connection attempts failed
2025-10-25 18:31:18 | ERROR | src.database.client:create_analysis_log:122 | Error creating analysis log: All connection attempts failed
2025-10-25 18:37:33 | ERROR | src.database.client:update_video_status:100 | Error updating video status: All connection attempts failed
2025-10-25 18:37:33 | ERROR | src.database.client:create_analysis_log:122 | Error creating analysis log: All connection attempts failed
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 0: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 25: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 50: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 75: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
